Date,Close,High,Low,Open,Volume
9/14/2020,12.83469105,13.27614917,12.59439501,13.04283268,1201744000
9/15/2020,12.95309544,13.25994724,12.79032179,13.24125176,727556000
9/16/2020,12.47798729,13.05455012,12.47723989,12.9194455,556384000
9/17/2020,12.4271307,12.55301256,11.99963178,12.09684712,792512000
9/18/2020,12.15368557,12.59564201,11.95377103,12.55700537,698460000
9/21/2020,12.4807272,12.48596185,11.86976503,11.89020539,721044000
9/22/2020,12.60087395,12.61109413,12.12003184,12.53830718,646452000
9/23/2020,12.08837414,12.68986443,12.04400458,12.53880579,647012000
9/24/2020,12.3119688,12.53282287,11.97894376,12.03702422,731240000
9/25/2020,12.83618736,12.84590928,12.2100204,12.41118155,588016000
9/28/2020,12.99696541,13.01366687,12.71279715,13.00220007,573808000
9/29/2020,13.18715858,13.40352541,12.89551253,12.8997497,621460000
9/30/2020,13.49102116,13.58275273,13.11188067,13.11910935,689184000
10/1/2020,13.57477665,13.72259372,13.42147483,13.71785828,525004000
10/2/2020,13.02413368,13.48004904,13.01291602,13.18640901,552496000
10/5/2020,13.60269356,13.60443844,13.1841681,13.19737979,479820000
10/6/2020,13.69641876,14.10073599,13.62512756,13.78964608,784420000
10/7/2020,13.92325592,14.07805348,13.82304905,13.958902,418084000
10/8/2020,13.79837036,14.04340372,13.71785647,14.03393094,378900000
10/9/2020,13.7225914,13.7839125,13.62088974,13.72682952,346892000
10/12/2020,14.1844902,14.30513743,13.8719055,13.94868049,434744000
10/13/2020,14.20667553,14.30663326,13.97784536,14.25478494,344604000
10/14/2020,14.05412197,14.30089926,13.91926652,14.24880182,276100000
10/15/2020,13.92923546,13.96488058,13.72757515,13.7704499,267224000
10/16/2020,13.77119732,14.08029315,13.75225271,13.99579028,242392000
10/19/2020,13.4583683,13.94270029,13.36763325,13.86243551,298068000
10/20/2020,13.60568333,13.75948338,13.46758725,13.54386397,229212000
10/21/2020,13.48528576,13.75125774,13.43817384,13.58524348,219596000
10/22/2020,13.32201385,13.57203178,13.19314047,13.48304259,290480000
10/23/2020,13.55059528,13.55358679,13.25246794,13.41075431,233484000
10/26/2020,13.10290432,13.6527954,13.00045431,13.38782091,336896000
10/27/2020,13.3576622,13.40278011,13.15301033,13.26717629,250520000
10/28/2020,12.5901556,13.22130895,12.57220847,13.15948958,376520000
10/29/2020,12.9859972,13.15425461,12.71279654,12.80103833,320080000
10/30/2020,12.49742794,12.8987527,12.26411051,12.81250588,416820000
11/2/2020,12.54404259,12.7992952,12.35883456,12.62081758,299652000
11/3/2020,12.98151112,13.06676141,12.56597717,12.67141869,272900000
11/4/2020,13.75399971,13.7871535,13.29808426,13.35018171,410228000
11/5/2020,14.11868382,14.29716143,13.95017725,14.12117705,319028000
11/6/2020,14.51950932,14.54618087,13.85445576,14.06857847,383348000
11/9/2020,13.59097862,14.64863363,13.57103747,14.51003926,582976000
11/10/2020,12.73273945,13.56679788,12.59140272,13.56679788,644068000
11/11/2020,13.37884903,13.39579962,12.91046927,13.01566166,404744000
11/12/2020,13.41748524,13.72583277,13.27714599,13.43967049,365812000
11/13/2020,13.25819969,13.62886481,13.02114339,13.58748582,346312000
11/16/2020,13.47581387,13.60967182,13.11761206,13.13406343,413776000
11/17/2020,13.38308334,13.55657539,13.26492937,13.51295325,312028000
11/18/2020,13.38956738,13.56605097,13.14652897,13.42596085,510924000
11/19/2020,13.40103245,13.44814437,13.06177526,13.17419632,565936000
11/20/2020,13.04956341,13.45512633,13.02687894,13.41474481,341088000
11/23/2020,13.10165882,13.34345058,12.97752183,13.13281764,361356000
11/24/2020,12.91994286,13.12359629,12.84740503,13.10415341,346500000
11/25/2020,13.19613361,13.23078221,12.98201087,12.99447421,259916000
11/27/2020,13.22255516,13.36837915,13.13207021,13.33597371,167276000
11/30/2020,13.36239624,13.37336478,12.93439896,13.22629512,286952000
12/1/2020,13.35093021,13.48927544,13.18965139,13.45288196,296948000
12/2/2020,13.50497818,13.63360148,13.19563319,13.31154402,283360000
12/3/2020,13.36085701,13.62416437,13.29403334,13.55185434,199520000
12/4/2020,13.52268028,13.52442568,13.35362462,13.41321747,202244000
12/7/2020,13.57105446,13.69522813,13.46458496,13.56556905,223244000
12/8/2020,13.31497955,13.56307675,13.24665873,13.54936274,271920000
12/9/2020,12.89682865,13.37881061,12.83449261,13.26560871,401300000
12/10/2020,12.93821907,13.03446631,12.81579081,12.83524038,207764000
12/11/2020,12.97911263,12.98584502,12.78936131,12.93323282,209264000
12/14/2020,13.27383518,13.35362523,13.04319205,13.05366446,270156000
12/15/2020,13.32545185,13.42867975,13.15215772,13.40449334,193016000
12/16/2020,13.20776176,13.40200072,13.17783978,13.38728893,223116000
12/17/2020,13.30625153,13.34440115,13.14392823,13.33168398,231384000
12/18/2020,13.23718452,13.36983505,13.03621317,13.34390324,342064000
12/21/2020,13.29727364,13.33492485,12.93348062,13.04044947,302332000
12/22/2020,13.24341583,13.30226107,13.01975429,13.28430864,185580000
12/23/2020,12.97512436,13.24017719,12.97088593,13.22122697,179144000
12/24/2020,12.95966053,13.0980466,12.90480547,13.00304635,97884000
12/28/2020,12.8661623,13.02823644,12.72977173,13.02823644,212564000
12/29/2020,12.90929699,13.03820847,12.8085621,12.89109535,170372000
12/30/2020,13.11126423,13.17908568,12.86291784,12.95617175,225396000
12/31/2020,13.02075386,13.11650175,12.88112077,13.10204012,192424000
1/4/2021,13.07909775,13.61668425,12.92849386,13.06987233,560640000
1/5/2021,13.36958599,13.40823404,13.05266955,13.06538577,322760000
1/6/2021,12.58140755,13.21025335,12.55298271,13.18781234,580424000
1/7/2021,13.30899525,13.34265724,12.85269588,12.93348277,461480000
1/8/2021,13.24192047,13.38579197,13.0077865,13.3274461,292528000
1/11/2021,13.58576679,13.92437661,13.3274464,13.38354846,518344000
1/12/2021,13.44937611,13.71841908,13.30999318,13.71642352,291476000
1/13/2021,13.49625301,13.58925867,13.34988847,13.45461258,210028000
1/14/2021,13.16562176,13.56407365,13.14592392,13.53938882,283120000
1/15/2021,12.82576656,13.29029454,12.81479574,13.19329966,277780000
1/19/2021,12.99108124,13.05965031,12.81030614,12.98210407,226188000
1/20/2021,13.33068943,13.3952693,13.02249998,13.07735506,258572000
1/21/2021,13.83112431,13.96252882,13.21823616,13.38330173,337780000
